pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
FT,8/9/18,89.9,2.4416,5.7895,Robbie Erlin,592885,572362,force_out,hit_into_play,,,,,14,"Christian Yelich grounds into a force out, first baseman Eric Hosmer to shortstop Freddy Galvis.   Lorenzo Cain out at 2nd.    Christian Yelich to 1st.  ",R,L,L,MIL,SD,X,3,ground_ball,0,1,2018,0.9965,0.8317,0.9664,2.3406,null,null,456715,0,3,Bot,149.59,169.41,,,454560,,180809_185827,-5.7651,-130.9385,-4.4079,12.6152,24.4419,-21.9115,3.5562,1.7907,35,76.5,-0.782,90.427,2155,6.302,531139,572362,454560,543333,517369,605486,520471,592669,608671,614177,54.1971,0.157,0.143,0,1,0,0,2,22,2,2-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Strategic
SL,7/24/18,82.5,1.1129,5.8961,Matt Grace,592885,594840,single,hit_into_play_no_out,,,,,6,Christian Yelich singles on a ground ball to right fielder Adam Eaton.   Lorenzo Cain to 3rd.  ,R,L,L,MIL,WSH,X,null,ground_ball,0,1,2018,-0.3152,0.0514,0.6864,2.6216,null,null,456715,0,10,Bot,181.44,116.66,,,571851,,180725_035620,-0.3723,-120.1791,-1.1032,-2.9243,20.9631,-31.7257,3.5741,1.715,38,77.1,-1.705,81.789,2000,5.526,530930,594840,571851,448602,502517,543685,594694,665742,572191,594809,54.9732,0.126,0.132,0.9,1,1,0,2,80,2,Slider,4,4,4,4,4,4,4,4,Standard,Standard
KC,5/28/18,81.7,0.9367,6.4451,Brett Cecil,592885,446399,single,hit_into_play_no_out,,,,,8,"Christian Yelich singles on a ground ball to right fielder Harrison Bader, deflected by second baseman Jedd Gyorko.  ",R,L,L,MIL,STL,X,4,ground_ball,0,0,2018,-0.0129,-0.3111,0.2077,1.7901,null,null,null,0,7,Bot,167.22,135.46,,,506747,,180528_203151,-1.5839,-118.8693,-3.3022,0.1747,21.9564,-34.6677,3.37,1.6957,4,94.6,-22.605,80.175,2486,5.165,530209,446399,506747,500874,576397,572761,622168,542303,502054,664056,55.3347,0.142,0.142,0.9,1,1,0,2,55,1,Knuckle Curve,5,3,5,3,3,5,5,3,Standard,Standard
SI,5/11/18,90.9,1.8669,6.0674,Chris Rusin,592885,543734,field_out,hit_into_play_score,,,,,6,"Christian Yelich grounds out, first baseman Ian Desmond to pitcher Chris Rusin.   Lorenzo Cain scores.  ",R,L,L,COL,MIL,X,3,ground_ball,0,1,2018,1.2814,0.5997,0.5973,2.1891,456715,null,null,1,6,Top,160.45,159.11,,,455104,,180512_030852,-5.7423,-132.1545,-5.0124,15.7869,25.9768,-24.5672,3.3828,1.5349,4,92.8,-27.944,89.809,2443,5.498,529977,543734,455104,435622,518934,571448,596115,467827,453568,471865,55.0043,0.1,0.088,0,1,0,0,2,58,2,Sinker,9,7,7,9,7,9,7,9,Standard,Standard
CU,7/12/18,84.2,2.3663,5.5772,Felipe Vazquez,592885,553878,single,hit_into_play_score,,,,,5,Christian Yelich singles on a sharp ground ball to right fielder Austin Meadows.   Jonathan Villar scores.    Eric Thames to 3rd.    Lorenzo Cain to 2nd.  ,R,L,L,PIT,MIL,X,null,ground_ball,2,2,2018,-0.6469,-0.3203,0.1977,2.524,542340,519346,456715,1,9,Top,175.63,117.32,,,553869,,180713_020608,-3.7319,-122.5054,-0.1436,-5.6317,22.6215,-35.526,3.3136,1.6521,12,101.2,-11.874,82.99,921,5.346,530804,553878,553869,605137,543281,501896,474568,572816,516782,640457,55.1534,0.265,0.254,0.9,1,1,0,2,78,7,Curveball,6,2,2,6,2,6,2,6,Standard,Standard
SL,7/21/18,87.7,1.1318,6.3005,Clayton Kershaw,592885,477132,single,hit_into_play_no_out,,,,,5,Christian Yelich singles on a ground ball to right fielder Matt Kemp.   Lorenzo Cain to 3rd.  ,R,L,L,MIL,LAD,X,null,ground_ball,0,0,2018,-0.083,0.9222,0.0789,2.4311,null,null,456715,1,3,Bot,186.53,113.08,,,518735,,180722_001750,-2.3731,-127.6671,-5.157,-0.4449,24.8887,-21.2963,3.3765,1.527,73,89.2,3.252,87.835,2571,6.233,530880,477132,518735,641355,571771,571970,592518,592626,621035,461314,54.2661,0.415,0.385,0.9,1,1,0,2,25,1,Slider,1,2,1,2,2,1,1,2,Standard,Standard
CH,7/8/18,85.8,1.9175,6.6943,Sean Newcomb,592885,656794,single,hit_into_play_score,,,,,5,Christian Yelich singles on a ground ball to right fielder Nick Markakis.   Jonathan Villar scores.  ,R,L,L,MIL,ATL,X,null,ground_ball,2,2,2018,1.1404,0.5228,0.0503,2.1176,null,542340,null,0,3,Bot,183.98,104.98,,,435559,,180708_190850,-6.5885,-124.7548,-5.6117,12.9133,21.5268,-26.0183,3.3608,1.5112,96,89.6,5.144,85.368,1464,5.737,530746,656794,435559,518692,645277,622666,621020,518586,542255,455976,54.7624,0.457,0.449,0.9,1,1,0,4,24,5,Changeup,0,0,0,0,0,0,0,0,Standard,Standard
FT,8/7/18,89.6,3.6821,5.764,Clayton Richard,592885,453385,field_out,hit_into_play,,,,,8,"Christian Yelich grounds out, second baseman Cory Spangenberg to first baseman Eric Hosmer.   Lorenzo Cain to 2nd.  ",R,L,L,MIL,SD,X,4,ground_ball,0,1,2018,1.5414,0.1691,0.047,1.9597,null,null,456715,0,1,Bot,152.62,156.08,,,595978,,180808_001850,-11.7237,-129.6388,-3.5899,19.0407,26.6717,-29.8889,3.56,1.72,3,97.3,-32.241,87.164,2143,5.033,531116,453385,595978,543333,605486,570799,520471,592669,622534,614177,55.4666,0.105,0.103,0,1,0,0,2,5,2,2-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard
CU,9/1/18,75,0.6585,5.7948,Tim Collins,592885,525768,field_out,hit_into_play,,,,,13,"Christian Yelich grounds out, second baseman Wilmer Difo to first baseman Ryan Zimmerman.  ",R,L,L,WSH,MIL,X,4,ground_ball,0,2,2018,-0.8001,-1.4309,-0.8641,1.978,null,null,456715,2,7,Top,155.53,155.78,,,571851,,180902_012518,-1.7494,-108.7462,1.7979,-5.6485,22.2748,-43.6104,3.4582,1.5997,106,69.1,9.685,72.66,2767,5.097,531440,525768,571851,475582,594694,543685,607208,665742,547180,594809,55.4025,0.294,0.256,0,1,0,0,2,50,3,Curveball,1,3,3,1,3,1,3,1,Standard,Standard
SI,9/10/18,89,2.921,5.5415,Jon Lester,592885,452657,force_out,hit_into_play,,,,,12,"Christian Yelich grounds into a force out, second baseman Daniel Murphy to shortstop Addison Russell.   Lorenzo Cain out at 2nd.    Christian Yelich to 1st.  ",R,L,L,CHC,MIL,X,4,ground_ball,0,0,2018,1.1652,0.5467,0.9788,2.7167,null,null,456715,0,5,Top,146.67,147.72,,,575929,,180911_012404,-7.1924,-129.4024,-2.0415,14.5395,26.2098,-25.8342,3.3886,1.5975,108,64.6,11.543,89.014,2090,6.274,531562,452657,575929,519203,502517,595879,608365,592178,546991,450314,54.2223,0.26,0.231,0,1,0,0,2,36,1,Sinker,1,2,2,1,2,1,2,1,Standard,Standard
