pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CH,5/16/18,83.4,-0.9015,5.8634,Matt Koch,592885,571863,field_out,hit_into_play,,,,,8,"Christian Yelich grounds out, first baseman Paul Goldschmidt to pitcher Matt Koch.  ",R,L,R,ARI,MIL,X,3,ground_ball,0,0,2018,-0.9785,0.92,0.1541,1.8862,null,null,null,0,5,Top,152.86,167.92,,,488671,,180516_211326,4.2736,-121.2339,-4.4197,-10.3191,23.9537,-22.6352,3.4861,1.5602,9,72.8,-13.316,82.622,1666,5.854,530045,571863,488671,502671,606466,518614,605113,444482,502481,519306,54.6481,0.06,0.054,0,1,0,0,2,37,1,Changeup,2,6,6,2,6,2,6,2,Standard,Standard
FF,5/4/18,92.6,-2.1979,6.5032,Nick Kingham,592885,592468,field_out,hit_into_play,,,,,12,Christian Yelich grounds out softly to first baseman Josh Bell.  ,R,L,R,MIL,PIT,X,3,ground_ball,0,1,2018,-0.1226,1.4773,1.1886,3.2734,null,null,null,2,3,Bot,158.55,166.6,,,465041,,180505_011137,8.7663,-134.4027,-5.4904,-3.2664,27.8166,-13.7785,3.3608,1.5113,58,57.9,6.08,91.392,2414,5.601,529892,592468,465041,605137,624428,592567,474568,572816,516782,570256,54.8984,0.136,0.13,0,1,0,0,1,27,2,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard
CH,5/29/18,88,-0.8437,6.5965,Michael Wacha,592885,608379,field_out,hit_into_play,,,,,7,Christian Yelich grounds out to first baseman Matt Carpenter.  ,R,L,R,MIL,STL,X,3,ground_ball,3,2,2018,-1.0237,1.1596,-0.2997,1.9188,null,null,null,1,6,Bot,155.64,167.59,,,506747,,180530_011917,3.4579,-128.0374,-7.6687,-12.0034,26.5423,-18.0099,3.3732,1.5237,7,82.3,-17.337,88.209,1618,6.436,530224,608379,506747,572761,543939,576397,622168,542303,502054,664056,54.0632,0.081,0.08,0,1,0,0,2,49,6,Changeup,0,5,0,5,5,0,0,5,Standard,Standard
SL,8/28/18,87.3,-1.722,5.668,Anthony DeSclafani,592885,543101,field_out,hit_into_play,,,,,5,"Christian Yelich grounds out, second baseman Scooter Gennett to first baseman Curt Casali.  ",R,L,R,CIN,MIL,X,4,ground_ball,2,2,2018,0.369,0.3702,-0.0997,2.3904,null,null,null,1,1,Top,155.58,152.27,,,571466,,180828_231426,3.1505,-127.303,-2.6138,3.5,21.5767,-27.8705,3.49,1.601,5,80.8,-26.822,87.864,2283,6.142,531385,543101,571466,592200,571697,553993,606299,640447,571740,594988,54.3579,0.044,0.036,0,1,0,0,2,2,5,Slider,0,0,0,0,0,0,0,0,Standard,Standard
FF,5/11/18,90.7,-1.3833,6.0122,Chad Bettis,592885,518452,single,hit_into_play_no_out,,,,,5,Christian Yelich singles on a ground ball to right fielder Carlos Gonzalez.   Lorenzo Cain to 3rd.  ,R,L,R,COL,MIL,X,null,ground_ball,0,2,2018,-0.1279,0.8197,0.133,2.5754,null,null,456715,0,1,Top,182.86,123.38,,,455104,,180512_004343,4.0094,-132.1164,-4.4277,-2.1946,23.6345,-22.1254,3.3832,1.5353,11,95.1,-13.311,90.284,1916,5.625,529977,518452,455104,435622,518934,571448,596115,467827,453568,471865,54.8767,0.228,0.227,0.9,1,1,0,2,2,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard
FS,8/10/18,82.5,-2.804,5.5969,Kevin Gausman,592885,592332,field_out,hit_into_play,,,,,9,Christian Yelich grounds out to first baseman Freddie Freeman.  ,R,L,R,ATL,MIL,X,3,ground_ball,0,2,2018,-1.2874,0.0675,0.4056,1.6606,null,null,null,0,6,Top,154.97,165.77,,,452095,,180811_012355,9.6326,-119.7784,-2.5838,-13.9078,20.5757,-31.3042,3.3882,1.6862,18,102.8,-5.113,81.951,1191,5.797,531146,592332,452095,518692,645277,622666,621020,660670,542255,455976,54.7008,0.381,0.341,0,1,0,0,2,46,3,Split Finger,7,0,0,7,0,7,0,7,Standard,Standard
FT,6/5/18,95.6,-1.7355,5.8795,Neil Ramirez,592885,519166,field_out,hit_into_play,,,,,12,Christian Yelich grounds out to first baseman Yonder Alonso.  ,R,L,R,CLE,MIL,X,3,ground_ball,0,0,2018,-0.5279,1.4087,0.9518,2.5491,null,null,null,1,8,Top,155.65,163.83,,,543228,,180606_012644,8.3023,-138.971,-6.367,-8.7017,30.3517,-12.6021,3.4206,1.5711,109,82.5,8.779,95.979,2375,6.506,530312,519166,543228,475174,543401,608070,596019,488726,656185,502082,53.9933,0.45,0.447,0,1,0,0,4,57,1,2-Seam Fastball,3,1,1,3,1,3,1,3,Standard,Standard
FT,5/5/18,95.6,-2.0411,6.0749,Jameson Taillon,592885,592791,field_out,hit_into_play,,,,,8,"Christian Yelich grounds out, first baseman Josh Bell to pitcher Jameson Taillon.  ",R,L,R,MIL,PIT,X,3,ground_ball,2,1,2018,-1.4108,0.7674,0.2107,1.9417,null,null,null,1,5,Bot,155.03,165.94,,,465041,,180506_004356,9.0561,-138.7686,-6.9668,-20.1226,29.2395,-21.0074,3.3674,1.518,5,81.7,-22.36,95.458,2298,6.213,529908,592791,465041,605137,624428,592567,474568,572816,516782,570256,54.2862,0.055,0.045,0,1,0,0,2,38,4,2-Seam Fastball,1,0,1,0,0,1,1,0,Standard,Standard
CU,5/29/18,76.8,-1.0351,6.5648,Michael Wacha,592885,608379,field_error,hit_into_play_no_out,,,,,8,Christian Yelich reaches on a throwing error by first baseman Matt Carpenter.  ,R,L,R,MIL,STL,X,3,ground_ball,0,2,2018,0.6935,-1.4038,0.0535,2.1494,null,null,null,0,4,Bot,155.64,159.72,,,506747,,180530_004526,1.0458,-111.8237,0.2317,5.6349,21.078,-44.2373,3.3732,1.689,11,89.6,-11.702,77.031,2333,6.524,530224,608379,506747,572761,543939,576397,622168,542303,502054,664056,53.9751,0.155,0.127,0.9,1,0,0,2,33,3,Curveball,0,5,0,5,5,0,0,5,Standard,Standard
FT,8/5/18,95.5,-1.4371,5.7687,Scott Oberg,592885,623184,single,hit_into_play_no_out,,,,,9,Christian Yelich singles on a sharp ground ball to right fielder Carlos Gonzalez.  ,R,L,R,MIL,COL,X,null,ground_ball,1,0,2018,-0.8559,0.6218,0.691,1.9056,null,null,null,0,10,Bot,199.73,105.49,,,547172,,180805_212333,7.5205,-138.7906,-5.9478,-12.6943,29.6345,-23.0538,3.56,1.72,14,102.9,-7.131,95.625,2119,6.328,531083,623184,547172,435622,518934,571448,596115,467827,453568,471865,54.1709,0.336,0.298,0.9,1,1,0,2,82,2,2-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard
